"codigo";"nivel";"descripcion"
148;"041751";"LITERATURA INFANTIL Y JUVENIL"
149;"041752";"LITERATURA Y NARRATIVA"
150;"041753";"MODISMOS Y ARGOT"
151;"041754";"NEGOCIOS Y CORRESPONDENCIA COMERCIAL"
152;"041755";"NOVELA POLICIACA"
153;"041756";"ORTOGRAFIA"
154;"041757";"POESIA"
155;"041758";"SELECTIVIDAD"
156;"041759";"TEATRO"
157;"041760";"TECNICOS"
158;"041761";"TESTS Y EXAMENES"
159;"041762";"TEXTOS BILINGÜES"
160;"041763";"TRADUCCIONES"
161;"041764";"VERBOS"
162;"041765";"VIAJES"
163;"041766";"VIDEOS"
164;"041767";"VOCABULARIO"
165;"041768";"VOCABULARIO TECNICO"
166;"0419";"GALLEGO"
167;"0420";"GEORGIANO"
168;"0421";"GRIEGO"
169;"042101";"GRIEGO CLASICO GRAMATICA"
170;"042102";"CURSOS"
171;"042103";"DICCIONARIOS"
172;"042104";"EJERCICIOS"
173;"042105";"LECTURAS"
174;"042106";"LECTURAS GRADUADAS"
175;"042107";"METODOS AUTODIDACTAS"
176;"042108";"PASHTO"
177;"0423";"HEBREO"
178;"0424";"HINDI"
179;"0425";"HOLANDES"
180;"0426";"IDIOMAS VARIOS"
181;"042601";"DANES"
182;"042602";"ESTONIANO"
183;"042603";"KURDO"
184;"042604";"RUANDES"
185;"042605";"SWAHILI"
186;"0428";"INDONESIO"
187;"0429";"INGLES"
188;"042901";"FCE"
189;"042902";"INGLES AMERICANO"
190;"042903";"BEC"
191;"042904";"CAE"
192;"042905";"CANCIONES"
193;"042906";"CD AUDIO"
194;"042907";"CD-ROM"
195;"042908";"CIENCIA FICCION"
196;"042909";"COMENTARIO DE TEXTOS"
197;"042910";"COMICS"
198;"042911";"COMPRENSION"
199;"042912";"CONVERSACION"
200;"042913";"CRITICA LITERARIA"
201;"042914";"CUENTOS"
202;"042915";"CULTURA CIVILIZACION E HISTORIA"
203;"042916";"CURSOS PARA ADULTOS"
204;"042917";"CURSOS AUTODIDACTAS"
205;"042918";"CURSOS AVANZADOS"
206;"042919";"CURSOS PARA BACHILLERATO"
207;"042920";"CURSOS ESCUELA DE IDIOMAS"
208;"042921";"CURSOS INFANTILES"
209;"042922";"CURSOS INSTITUTOS Y ACADEMIAS"
210;"042923";"CURSOS JUVENILES"
211;"042924";"CURSOS PRIMARIA"
212;"042925";"CURSOS SECUNDARIA"
213;"042926";"CURSOS TECNICOS"
214;"042927";"DERECHO Y TEMAS LEGALES"
215;"042928";"DICCIONARIOS BILINGÜES"
216;"042929";"DICCIONARIOS INFANTILES"
217;"042930";"DICCIONARIOS MONOLINGÜES"
218;"042931";"DICCIONARIOS TECNICOS"
219;"042932";"DICTADOS"
220;"042933";"DIDACTICA"
221;"042934";"DVD"
222;"042935";"EJERCICIOS"
223;"042936";"EJERCICIOS INFANTILES"
224;"042937";"ENCICLOPEDIAS"
225;"042938";"ENSEÑANZA"
226;"042939";"EXAMENES INFANTILES"
227;"042940";"FIRST CERTIFICATE ENGLISH"
228;"042941";"FLASHCARDS"
229;"042942";"FONETICA Y PRONUNCIACION"
230;"042943";"GRAMATICA"
231;"042944";"GRAMATICA INFANTIL Y JUVENIL"
232;"042945";"GUIAS DE CONVERSACION"
233;"042946";"GUIAS DE LECTURA"
234;"042947";"IELTS"
235;"042948";"IELTS"
236;"042949";"IGCSE"
237;"042950";"JUEGOS INFANTILES"
238;"042951";"JUEGOS Y CRUCIGRAMAS"
239;"042952";"KET"
240;"042953";"LECTURAS AVANZADAS"
241;"042954";"LECTURAS GRADUADAS"
242;"042955";"LECTURAS GRADUADAS INFANTILES"
243;"042956";"LECTURAS GRADUADAS NIVEL 1"
244;"042957";"LECTURAS GRADUADAS NIVEL 2"
245;"042958";"LECTURAS GRADUADAS NIVEL 3"
246;"042959";"LECTURAS GRADUADAS NIVEL 4"
247;"042960";"LECTURAS GRADUADAS NIVEL 5"
248;"042961";"LECTURAS GRADUADAS NIVEL 6"
249;"042962";"LINGUISTICA"
250;"042963";"LISTENING SPEAKING"
251;"042964";"LITERATURA INFANTIL Y JUVENIL"
252;"042965";"MATERIAL DIDACTICO FOTOCOPIABLE"
253;"042966";"MEDICINA"
254;"042967";"MODISMOS Y SLANG"
255;"042968";"MUSICA"
256;"042969";"NARRATIVA"
257;"042970";"NEGOCIOS Y CORRESPONDENCIA COMERCIAL"
258;"042971";"PET"
259;"042972";"POSTERS Y POSTALES"
260;"042973";"PROFICIENCY"
261;"042974";"READING"
262;"042975";"SINONIMOS"
263;"042976";"TEATRO"
264;"042977";"TESTS"
265;"042978";"TEXTOS BILINGÜES"
266;"042979";"TOEFL"
267;"042980";"TOEIC"
268;"042981";"TRADUCCIONES"
269;"042982";"TURISMO"
270;"042983";"VERBOS"
271;"042984";"VOCABULARIO"
272;"042985";"VOCABULARIO TECNICO"
273;"042986";"WRITING COMPOSITION"
274;"042987";"MICHIGAN ECCE"
275;"042988";"MULTILINGUES"
276;"0431";"VARIOS"
277;"043101";"ALBANES"
278;"043102";"ARMENIO"
279;"043103";"BULGARO"
280;"043104";"HUNGARO"
281;"043105";"ISLANDES"
282;"043106";"SUMERIO"
283;"043107";"UGARITICO"
284;"0433";"ITALIANO"
285;"043301";"CD-ROM"
286;"043302";"CONVERSACION Y COMPRENSION"
287;"043303";"CUENTOS"
288;"043304";"CURSOS"
289;"043305";"CURSOS AUTODIDACTAS"
290;"043306";"CURSOS INFANTILES Y JUVENILES"
291;"043307";"CURSOS TECNICOS"
292;"043308";"DICCIONARIOS"
293;"043309";"DICCIONARIOS MONOLINGUES"
294;"043310";"DICCIONARIOS TECNICOS"
295;"043311";"EJERCICIOS"
296;"043312";"EXAMENES"
297;"043313";"FONETICA"
298;"043314";"GRAMATICA"
299;"043315";"GUIAS DE CONVERSACION"
300;"043316";"LECTURAS GRADUADAS"
301;"043317";"LECTURAS JUVENILES"
302;"043318";"LITERATURA"
303;"043319";"LITERATURA BILINGUE"
304;"043320";"METODOLOGIA Y DIDACTICA"
305;"043321";"NEGOCIOS Y CORRESPONDENCIA COMERCIAL"
306;"043322";"POESIA"
307;"043323";"PREPOSICIONES"
308;"043324";"PRONUNCIACION"
309;"043325";"TEST"
310;"043326";"VERBOS"
311;"043327";"VOCABULARIO"
312;"0435";"JAPONES"
313;"043502";"CURSOS"
314;"043503";"DICCIONARIOS"
315;"043504";"GRAMATICA"
316;"043505";"GUIAS DE CONVERSACION"
317;"0437";"JOLA"
318;"0438";"KALO"
319;"0439";"KARAKALPAK"
320;"0440";"KIRUNDI"
321;"0441";"LATIN"
322;"0442";"LETON"
323;"0443";"LINGALA"
324;"0444";"LITUANO"
325;"0445";"MALINKE"
326;"0446";"NEPALI"
327;"0447";"NORUEGO"
328;"0448";"PERSA"
329;"044801";"PERSA"
330;"0450";"POLACO"
331;"0451";"PORTUGUES"
332;"045101";"AUDIOVISUALES"
333;"045102";"CANCIONES"
334;"045103";"CD-ROM"
335;"045104";"COMPRENSION"
336;"045105";"CUENTOS"
337;"045106";"CURSOS ADULTOS"
338;"045107";"CURSOS AUTODIDACTAS"
339;"045108";"CURSOS JUVENILES"
340;"045109";"PORTUGUES DE BRASIL"
341;"045110";"DICCIONARIOS"
342;"045111";"DICCIONARIOS BILINGÜES"
343;"045112";"DICTADOS"
344;"045113";"DIDACTICA"
345;"045114";"EJERCICIOS"
346;"045115";"GRAMATICA"
347;"045116";"GUIAS CONVERSACION"
348;"045117";"JUEGOS Y ACTIVIDADES"
349;"045118";"LECTURA Y REDACCION"
350;"045119";"LECTURAS GRADUADAS"
351;"045120";"LIBROS TECNICOS"
352;"045121";"LINGUISTICA"
353;"045122";"LITERATURA"
354;"045123";"LITERATURA CLASICA"
355;"045124";"LITERATURA INFANTIL"
356;"045125";"LITERATURA JUVENIL"
357;"045126";"NARRATIVA"
358;"045127";"ORTOGRAFIA"
359;"045128";"VIDEOS"
360;"045129";"VOCABULARIO"
361;"0453";"RUSO"
362;"045301";"CALIGRAFIA"
363;"045302";"CDROM"
364;"045303";"CONVERSACION"
365;"045304";"CURSOS"
366;"045305";"CURSOS AUTODIDACTAS"
367;"045306";"DICCIONARIOS BILINGÜES"
368;"045307";"EJERCICIOS"
369;"045308";"GRAMATICA"
370;"045309";"GUIAS DE CONVERSACION"
371;"045310";"JUEGOS Y ACTIVIDADES"
372;"045311";"LECTURAS BILINGÜES"
373;"045312";"LECTURAS GRADUADAS"
374;"045313";"LITERATURA INFANTIL"
375;"0455";"SUECO. NORUEGO. FINLANDES"
376;"0456";"TACHELHIT"
377;"0457";"TAGALO"
378;"0458";"TAMUL"
379;"0459";"TURCO"
380;"045901";"GRAMATICA"
381;"0461";"UCRANIANO"
382;"046101";"BIELORUSO"
383;"046102";"ESLOVACO"
384;"046103";"LIVE CURSOS"
385;"0463";"URDU"
386;"0488";"RUMANO"
387;"05";"BELLAS ARTES"
388;"0501";"LIBROS OTRAS LENGUAS"
389;"0502";"ENSAYOS"
390;"0503";"ARTESANÍA Y MANUALIDADES"
391;"0505";"CINE"
392;"0507";"DECORACIÓN"
393;"0509";"DISEÑO"
394;"0510";"ESCULTURA"
395;"0511";"FILOSOFÍA DEL ARTE"
396;"0513";"FOTOGRAFÍA"
